"PRDT_CD","CATE_CD","BRAND_CD","PRDT_NAME","SALE_PRICE","LOAD_DTTM"
"1011202","18",AE,"2버튼 후다포켓JK",125000,"20230223112608"
"1011206","18",TH,일본수입 2버튼 후다JK,135000,"20230223112608"
"1011210","18",IL,수입 2버튼 후다jk,44000,"20230223112607"
"1011305","19",NB,기본에리점퍼,119000,"20230223112608"
"1011508","13",MG,PRINT SH,92000,"20230223112607"
"1011509","13",RL,C/P STRIPE SH,69000,"20230223112608"
"1011551","13",RL,C/P PRINT SH,35000,"20230223112608"
"1011671","5",DC,아웃도어 립바지,47000,"20230223112607"
"1015291","22",TT,기본물 요꼬에리,98000,"20230223112607"
"1015472","22",IL,outdoor 목크넥,91000,"20230223112607"
"1017204","24",AE,타조엠보 가죽벨트,128000,"20230223112608"
"1017205","24",IL,크랙크로코엠보 벨트,109000,"20230223112607"
"1021471","14",RL,로고 모티브 프린트 VEST,125000,"20230223112608"
"1027701","24",TH,쁘띠실크스카프,44000,"20230223112608"
"1027702","24",DK,푸른 자연무늬 실크스카프,145000,"20230223112607"
"1031307","19",TM,홑겹매쉬패치 점퍼,111000,"20230223112607"
"1031705","6",DC,타운스트라이프,85000,"20230223112607"
"1033302","11",MG,MEN`S SWEATER ROUND,62000,"20230223112607"
"1035102","22",TT,제에리,131000,"20230223112607"
"1035105","22",GL,제에리,100000,"20230223112608"
"1035214","22",AE,요꼬에리 집업,75000,"20230223112608"
"1035226","22",AE,요꼬에리,40000,"20230223112608"
"1035233","22",TH,요꼬에리,55000,"20230223112608"
"1035254","22",TT,요꼬에리,120000,"20230223112607"
"1035301","22",DK,라운드,67000,"20230223112607"
"1038303","24",DC,단품 세줄사각,51000,"20230223112608"
"1041306","19",MG,뒷판패커블지퍼 경량점퍼,134000,"20230223112607"
"1041610","5",TM,깅검체크 7부바지,34000,"20230223112607"
"1043102","11",LT,MESH원단 VEST,71000,"20230223112607"
"1045116","22",TH,스트라이프 배색 솔리드 티셔츠,108000,"20230223112608"
"1045213","22",NB,스트라이프 폴로 티셔츠,68000,"20230223112608"
"1045218","22",AE,골조직 폴로 티셔츠,97000,"20230223112608"
"1045219","22",DC,면강연 stripe 티셔츠,136000,"20230223112607"
"1045222","22",MG,매쉬 스트라이프 티셔츠,129000,"20230223112607"
"1045851","22",DK,메쉬롱,90000,"20230223112607"
"1047415","24",NB,오목도뜨썬캡,145000,"20230223112608"
"1051314","19",TT,기본에리 패딩점퍼,85000,"20230223112607"
"1055191","22",DC,제에리,69000,"20230223112607"
"1057202","24",IL,빗살무늬버클,57000,"20230223112607"
"1063702","11",TM,후드가디건,42000,"20230223112607"
"1067501","24",HB,P장식 가방,121000,"20230223112608"
"1067701","24",TT,스트라이프마름모,106000,"20230223112607"
"1067702","24",MG,꽃과도트,135000,"20230223112607"
"1071101","20",DK,라이너탈착 다운코트,98000,"20230223112607"
"1071202","18",LT,캐시미어 혼방 jk,52000,"20230223112607"
"1071206","18",TT,헤링본체크JK,47000,"20230223112607"
"1071207","18",DC,폴리셔닐 JK,43000,"20230223112607"
"1071253","18",HS,사파리형다운자켓,43000,"20230223112607"
"1071503","13",MG,wpr 체크,50000,"20230223112607"
"1072051","2",MG,후드탈착체크다운,87000,"20230223112607"
"1072071","2",HB,다이마루패치 다운세트,139000,"20230223112608"
"1073403","11",DK,저지패치방풍,65000,"20230223112607"
"1075101","22",TM,제에리 버튼다운,97000,"20230223112607"
"1075202","22",DK,요꼬에리,145000,"20230223112607"
"1077705","24",TM,굵은 스트라이프,64000,"20230223112607"
"1077707","24",IL,양면 스트라이프,78000,"20230223112607"
"1081305","19",DK,인조FUR라이너 롱기장패딩점퍼,51000,"20230223112607"
"1082071","2",RL,아웃도어 다운 2겹점퍼,100000,"20230223112608"
"1083103","11",LT,펠트지오픈베스트,91000,"20230223112607"
"1085403","22",HS,스트라이프 배색 하이넥,119000,"20230223112607"
"1087401","24",AE,포인트 토끼털 니트모자,68000,"20230223112608"
"1115102","22",MG,한기장가로스트라이프,58000,"20230223112607"
"1115203","22",TT,아가일 양두자카드,52000,"20230223112607"
"1121307","19",LT,자수포인트밑단시보리점퍼,54000,"20230223112607"
"1121308","19",RL,배색포인트브루종점퍼,82000,"20230223112608"
"1121605","5",HB,로고자수장식 힙업 일자바지,100000,"20230223112608"
"1127507","24",RL,프라다원단백,111000,"20230223112608"
"1131204","18",DK,호시장식 자켓,109000,"20230223112607"
"1131304","19",TM,부분매쉬겹 점퍼,65000,"20230223112607"
"1131504","13",DC,배색자수셔츠,75000,"20230223112607"
"1131505","13",DK,자수주머니 스트라이프셔츠,37000,"20230223112607"
"1131511","13",RL,자수배색 셔츠,40000,"20230223112608"
"1131609","5",MG,n/c 혼용 원턱 캐쥬얼바지,53000,"20230223112607"
"1131613","5",GL,아스킨 원턱바지 1131605(소재변경),114000,"20230223112608"
"1131705","6",RL,세로 잔스트라이프패턴반바지,40000,"20230223112608"
"1133602","11",HS,린넨폴로,48000,"20230223112607"
"1133605","11",LT,프린트원단패치,87000,"20230223112607"
"1135203","22",HS,심플 2도 스트라이프,143000,"20230223112607"
"1135204","22",DC,한기장가로스트라이프,88000,"20230223112607"
"1135501","22",LT,전타스타일,90000,"20230223112607"
"1135503","22",NB,다데 전타,38000,"20230223112608"
"1141401","14",DK,절개디테일 vest,114000,"20230223112607"
"1141704","6",TM,비치웨어 반바지,83000,"20230223112607"
"1145101","22",GL,"4도 메탈 스트라이프 티셔츠",39000,"20230223112608"
"1145191","22",TT,체크 배색 제에리,137000,"20230223112607"
"1145353","22",TM,교차면분할 비치웨어,89000,"20230223112607"
"1151308","19",IL,폴리본딩 니트패치점퍼,110000,"20230223112607"
"1153105","11",HS,아가일베스트,138000,"20230223112607"
"1165291","22",MG,요꼬에리 기본물,104000,"20230223112607"
"1165381","22",LT,메탈 스트라이프 기획 터틀넥,71000,"20230223112607"
"1167101","24",DK,지갑,121000,"20230223112607"
"1167401","24",RL,니트베레모,133000,"20230223112608"
"1167811","24",DK,가방,46000,"20230223112607"
"1171102","20",GL,투톤체크 퍼트리밍 코트,135000,"20230223112608"
